begin	end	feature_type	xmi_id	sent_id	token_id	text	Tumor.TNM
0.0	5.0	Token	2.0	0	0	﻿UICC	
6.0	9.0	Token	3.0	1	1	TNM	version
10.0	11.0	Token	4.0	1	2	7	version
11.0	12.0	Token	5.0	2	3	.	version
13.0	20.0	Token	6.0	2	4	Auflage	
20.0	21.0	Token	7.0	2	5	:	
22.0	26.0	Token	8.0	2	6	pT1a	TNM
26.0	27.0	Token	9.0	2	7	,	TNM
28.0	31.0	Token	10.0	2	8	pNx	TNM
31.0	32.0	Token	11.0	2	9	,	TNM
33.0	35.0	Token	12.0	2	10	V0	
35.0	36.0	Token	13.0	2	11	,	
37.0	39.0	Token	14.0	2	12	L0	
39.0	40.0	Token	15.0	2	13	.	
41.0	47.0	Token	16.0	3	14	Mässig	
48.0	63.0	Token	17.0	3	15	differenziertes	
64.0	77.0	Token	18.0	3	16	Adenokarzinom	
78.0	81.0	Token	19.0	3	17	des	
82.0	87.0	Token	20.0	3	18	Kolon	
88.0	99.0	Token	21.0	3	19	transversum	
99.0	100.0	Token	22.0	3	20	.	
101.0	110.0	Token	23.0	4	21	Maximaler	
111.0	127.0	Token	24.0	4	22	Tumordurchmesser	
127.0	128.0	Token	25.0	4	23	:	
129.0	130.0	Token	26.0	5	24	7	
130.0	132.0	Token	27.0	5	25	mm	
132.0	133.0	Token	28.0	5	26	.	
134.0	144.0	Token	29.0	6	27	Tumorfreie	
145.0	161.0	Token	30.0	6	28	Resektionsränder	
161.0	162.0	Token	31.0	6	29	.	
163.0	166.0	Token	32.0	7	30	pT1	TNM
167.0	168.0	Token	33.0	7	31	(	
168.0	171.0	Token	34.0	7	32	Sm3	
171.0	172.0	Token	35.0	7	33	)	
172.0	173.0	Token	36.0	7	34	,	
174.0	177.0	Token	37.0	7	35	pN0	TNM
178.0	179.0	Token	38.0	7	36	(	
179.0	182.0	Token	39.0	7	37	0/8	
182.0	183.0	Token	40.0	7	38	)	
183.0	184.0	Token	41.0	7	39	,	
185.0	187.0	Token	42.0	7	40	G2	
187.0	188.0	Token	43.0	7	41	,	
189.0	191.0	Token	44.0	7	42	V0	
191.0	192.0	Token	45.0	7	43	,	
193.0	195.0	Token	46.0	7	44	L0	
195.0	196.0	Token	47.0	7	45	,	
197.0	200.0	Token	48.0	7	46	Pn0	
200.0	201.0	Token	49.0	7	47	.	
202.0	221.0	Token	50.0	8	48	Hochdifferenziertes	
222.0	244.0	Token	51.0	8	49	Plattenepithelkarzinom	
245.0	246.0	Token	52.0	8	50	(	
246.0	248.0	Token	53.0	8	51	G1	
248.0	249.0	Token	54.0	8	52	)	
250.0	253.0	Token	55.0	9	53	pT1	TNM
254.0	258.0	Token	56.0	9	54	nach	
259.0	263.0	Token	57.0	9	55	AJCC	version
264.0	268.0	Token	58.0	9	56	2010	version
268.0	269.0	Token	59.0	9	57	.	version
